add_module,新增
cdgf,CDGF
cdgm,CDGM
cdgu,CDGU
delete_module,刪除
drill_slice_inspector_starting,Drill Slice Inspector
ezautocoupon_starting,ezAutoCoupon
ezavi_starting,ezAVI
ezcam_autopanel_starting,ezAutoPanel
ezcam_basic_starting,ezCAM Basic
ezcam_di_starting,ezCAM DI
ezcam_flex_starting,ezCAM Flex
ezcam_kintech_starting,ezCAM Kintech
ezcam_smartquote_starting,SQEditor
ezcam_standard_starting,ezCAM Standard
ezcam_starting,ezCAM
ezcam_viewer_starting,ezCAM Viewer
ezcamnote_starting,ezCAMNote
ezcar,EzCAR
ezcar_log,EzCAR Log
ezdi_altix_starting,ezDI ALTIX
ezdi_gerber_starting,ezDI Gerber
ezdi_o_starting,ezDI_o
ezdi_starting,ezDI
ezfixture,EzFixture
ezfixture2_starting,FixtureII
ezflex_panel_starting,ezFlex Panel only
ezflex_stackup_panel_starting,ezFlex Stackup+Panel
ezflex_stackup_starting,ezFlex Stackup only
ezflex_starting,ezFlex
ezgrid,EzGrid
ezgrid_kit,EzGrid Kit
ezgrid_tester,EzGrid tester
ezlib_image_quicktest,ezLIB Image
ezlib_odb2gerber_convertor_ns,ezLIB ODB++ to Gerber
ezlib_raster_image_convertor,ezLIB Raster Image Convetor
ezmap,EzMap
ezplan_panel_starting,ezPlan Panel only
ezplan_stackup_panel_starting,ezPlan Stackup+Panel
ezplan_stackup_starting,ezPlan Stackup only
ezprobe,EzProbe
fm_f4w_convertor_anps_v2,FM/F4W Converter
modified_module,修改
OFFICIAL,正式
PERMANENT,永久
SHIPPING,出貨
TRIAL,測試
ezplan_polar_calc_loss_option,ezPlan PolarCalcLoss
ezplan_ipc2581b_option,ezPlan IPC2581B
ezplan_starting,ezPlan
campro330_starting,CAMPro330
smartquote_core,SmartQuote
ezcar_starting,ezCAR
Save_ADR_File,Save_ADR_File
ezdimension_starting,ezDimension
Read_Err_Utron_txt,Read_Err_Utron_txt
fm_f4w_convertor_anps,FM&F4w Convetor
campro550_starting,CAMPro550
Read_Err_JointStars,Read_Err_JointStars
Read_Err_Mason_Atg,Read_Err_Mason_Atg
Save_CAR_File,Save_CAR_File
Read_Gerber_File,Read_Gerber_File
